DNA_ID,PC1,PC2,PC3,PC4,PC5,PC6,TreeNo,spec
84-A,-12.56181478,-4.715214822,8.92209869,3.900931926,0.746548808,0.615628167,SH-QS6,QS
108-A,13.40181353,-1.889706061,4.365932862,-8.917496259,-0.67697882,0.185099199,SH-QR7,QR
130-A,-1.457992536,-0.082776002,-2.368301867,-0.774031661,3.0193669,-0.49487904,Morton-QA,QA
149-A,-4.649977154,0.187810775,-7.379416237,-1.199252335,2.825023775,0.024003816,QA-M9,QA
170-A,-6.460397101,0.135478662,-9.83926942,-1.155739982,-6.950513455,-15.90539264,QA-Pr8,QA
193-B,6.018849996,-0.709677444,2.984655353,-8.383828366,-0.275256899,-0.46926512,QR-AL1,QR
9-A,-9.032581514,-0.252334379,-7.073567691,-0.344941157,-3.386133687,3.364479284,QA-PO10,QA
50-B,11.46508635,-2.250522879,6.702428768,-13.09974957,-0.950802393,0.3321994,QS-L6,QS
72-A,22.30084773,-1.682450885,-2.209020829,7.607803763,0.165474567,0.869544372,QR-S4,QR
96-B,-1.552958892,32.01565107,5.011527944,0.875718804,-0.025860875,0.210664053,TX-QB4,QB
135-A,-9.835297905,0.260698948,-11.29257182,-1.658674373,-5.892929941,7.913911791,QAC-G-0017-A,QA
186-A,0.905752396,0.019730203,-0.128814679,0.345286588,-0.042813393,-0.096357351,QR-Pr5,QR
218-A,1.489297853,-3.48431707,5.240261251,-0.691628528,0.360345434,-1.117890689,SH-QS30,QS
238-A,-8.87764643,0.286487607,-12.03386165,-1.839147276,-4.522032946,5.146417007,QA-PO13,QA
21-21AC1,10.45908697,-2.437794368,6.930318135,-14.38629801,-0.0840419,-0.31941315,QS-L5,QS
51-51AC1,11.07666586,-2.365807609,6.560363832,-13.13028615,-0.006765438,0.158078124,QS-L4,QS
73-73AC1,-9.09062444,-0.186878564,-10.93145136,-2.393678531,-6.505927371,8.318579526,QA-PO9,QA
99-A,-2.422135275,37.04777527,6.977820866,1.194950365,0.53308556,0.082616688,TX-QB1,QB
99-A,-2.422135275,37.04777527,6.977820866,1.194950365,0.53308556,0.082616688,TX-QB1,QB
144-144AC1,-10.51670774,-2.943086826,2.384662795,1.734799892,-0.681683026,1.110808837,QR-RP9,QR
198-B,-11.01041817,-3.220426767,1.115255026,2.023495628,-0.026534456,0.002152713,QS-RP7,QS
