PC1,PC2,PC3,PC4,PC5,PC6,TreeNo,gene_cluster
-6.460397101,0.135478662,-9.83926942,-1.155739982,-6.950513455,-15.90539264,QA-Pr8,0
6.018849996,-0.709677444,2.984655353,-8.383828366,-0.275256899,-0.46926512,QR-AL1,2
-9.032581514,-0.252334379,-7.073567691,-0.344941157,-3.386133687,3.364479284,QA-PO10,0
11.46508635,-2.250522879,6.702428768,-13.09974957,-0.950802393,0.3321994,QS-L6,2
22.30084773,-1.682450885,-2.209020829,7.607803763,0.165474567,0.869544372,QR-S4,2
-9.835297905,0.260698948,-11.29257182,-1.658674373,-5.892929941,7.913911791,QAC-G-0017-A,0
0.905752396,0.019730203,-0.128814679,0.345286588,-0.042813393,-0.096357351,QR-Pr5,0
1.489297853,-3.48431707,5.240261251,-0.691628528,0.360345434,-1.117890689,SH-QS30,1
-8.87764643,0.286487607,-12.03386165,-1.839147276,-4.522032946,5.146417007,QA-PO13,0
10.45908697,-2.437794368,6.930318135,-14.38629801,-0.0840419,-0.31941315,QS-L5,2
11.07666586,-2.365807609,6.560363832,-13.13028615,-0.006765438,0.158078124,QS-L4,2
-9.09062444,-0.186878564,-10.93145136,-2.393678531,-6.505927371,8.318579526,QA-PO9,0
-10.51670774,-2.943086826,2.384662795,1.734799892,-0.681683026,1.110808837,QR-RP9,1
-11.01041817,-3.220426767,1.115255026,2.023495628,-0.026534456,0.002152713,QS-RP7,1
-14.97552109,-5.012044986,10.1298728,4.162591681,1.034923711,-2.324605378,SH-QS18,1
-14.97552109,-5.012044986,10.1298728,4.162591681,1.034923711,-2.324605378,SH-QS18,1
17.51357945,-1.978855534,2.420859268,-3.902440403,-0.077398779,-0.129533373,QR-RP6,2
22.85701022,-1.40851481,-1.692077375,8.370906892,0.669720621,0.042644703,QR-PO15,2
-2.270945013,-4.630465999,10.64710962,-4.476247801,1.026612614,-0.0467499,QS-H10,1
14.76925537,-1.721371073,2.967185275,-6.33031138,-0.283202284,-0.338594004,SH-QR21,2
14.47464213,-2.170601809,4.176484878,-10.94917645,0.388783239,-0.23543203,QR-RP3,2
14.47464213,-2.170601809,4.176484878,-10.94917645,0.388783239,-0.23543203,QR-RP3,2
13.39585983,-2.337104406,4.50911228,-8.272056898,0.453552612,0.007773256,QR-RP7,2
-18.68844669,-7.264904782,15.77829213,7.587874329,3.042774332,-0.459072356,QS-AL8,1
-18.68844669,-7.264904782,15.77829213,7.587874329,3.042774332,-0.459072356,QS-AL8,1
23.21021504,-1.658529276,-1.772082789,9.601628936,0.136721617,0.939352989,QR-Pr14,2
23.21021504,-1.658529276,-1.772082789,9.601628936,0.136721617,0.939352989,QR-Pr14,2
14.93882086,-1.666065171,3.489041979,-7.169440578,-0.025718347,-0.169519177,QR-RP11,2
-0.433134494,-4.353332267,8.090811357,2.395164905,0.685521302,0.104251233,QS-H9,1
10.6032644,-2.771147859,6.416656372,-15.77443832,-0.0536317,0.138010382,QS-L9,2
-13.09526795,-4.699555168,6.817539223,2.718052471,0.691474817,-0.497408516,SH-QS27,1
18.93312685,-1.268883874,0.473618817,-0.077190945,0.359834907,1.042501806,T-QR16,2
-11.65258674,-2.754838751,-1.05788559,1.177014286,-0.850270394,1.173741088,QS-K1,1
-17.43108467,-6.197125583,12.88199069,5.429070821,2.069561515,-0.739793207,QS-AL7,1
-3.89057121,-0.285452573,-5.612738923,-0.617211363,-3.080663739,-8.383047539,QAC-G-0030-A,0
-14.23356678,-4.36886079,5.817311697,3.177068773,0.359047727,0.763013222,QA-AL1,1
-1.160312518,7.803907938,-4.91725695,-1.843291174,-2.61201095,2.464469717,QA-S1,0
-16.69840711,-6.31722524,13.32537518,5.599484361,1.435102833,-0.052315333,QS-W1,1
13.51852375,-1.826562027,4.265359428,-10.18487412,-0.535513458,-0.832254031,SH-QR25,2
-12.29260604,-2.76921943,0.686213126,1.827904052,-0.918958402,1.526216908,QA-RP1,1
-12.00711884,-2.634677641,0.320198437,1.553956925,-0.324641785,1.024444192,QS-K10,1
-13.36892476,-3.873187317,5.361339061,2.796305595,-0.563843976,1.064337649,QA-AL4-ind1,1
-10.47510428,-0.909181017,-3.594784844,0.412427028,-1.824282266,2.723548137,MBG-QA1,0
-11.7199616,-2.433470309,-1.01187161,1.174118581,-0.75880774,1.461930127,QS-RP3,1
-2.524637093,-3.966955097,9.353825695,-3.594009821,0.843200708,-0.303224924,QS-H4,1
8.153485627,-2.797756674,6.981162475,-11.10236978,-0.129154472,-0.222462718,QS-L2,2
8.773040688,-2.341736885,5.779603159,-12.32509894,-0.432193749,-1.120986302,SH-QR24,2
18.73911366,-1.750993594,1.218620985,0.431877693,-0.124338629,-0.0353405,T-QR23,2
-10.82757696,-2.478550762,-0.488903754,0.956087549,-0.801382113,-0.095655308,QS-K2,1
-15.50191269,-4.528022862,8.195197482,4.404660624,0.332505684,-0.31354335,QA-AL3,1
20.59354745,-1.585465285,-1.347192514,6.718202845,0.47182426,-0.417249891,QR-Pr15,2
-4.20085427,-5.031808949,11.54662332,-2.833565741,0.750589867,-0.239539692,QS-H5,1
-7.853183249,0.514655321,-12.13963228,-2.057999505,-3.425106577,5.876321165,QA-S14,0
15.30608115,-2.033685241,4.84471852,-11.00791,-0.477981646,-0.051808933,SH-QR5,2
-12.95729657,-2.78881943,2.343682289,2.281058876,-0.439860685,0.33571471,QA-RP3,1
-10.53611606,-2.040302168,-2.127410075,0.993518831,-1.407685358,0.705742062,QS-K6,1
12.10263529,-1.739951336,5.832265696,-16.80562433,0.123605388,-0.990812057,QR-AL3,2
19.45343799,-1.985081988,0.664951116,0.326660087,-0.431973051,-0.247015205,T-QR15,2
11.7231665,-2.273562167,5.976236662,-13.25895965,-0.004128961,-0.563826469,QS-H13,2
22.27240483,-1.488817347,-1.485403356,7.550174949,0.129362262,0.260920006,QR-S5,2
14.15638312,-2.04496104,5.144944747,-14.50725347,-0.62255933,0.288055451,SH-QR6,2
18.66302739,-1.834766809,1.333894691,-2.381647858,-0.468503151,0.214692651,T-QR8,2
22.73439088,-1.946043139,-1.961701937,8.426493884,-0.148218827,0.547464192,QR-M15,2
11.54796196,-1.759378032,6.518900441,-16.91210984,-0.430841839,-0.881386394,QR-AL2,2
-7.232456589,-0.04337795,-11.83663854,-1.055348043,-5.432456347,-13.3280773,QA-Pr10,0
-9.854464999,0.122302552,-9.717427307,-1.522754717,-4.865441073,6.376029731,QA-PO5,0
9.431954467,-2.568364316,6.316319537,-13.37776455,-0.320142011,-0.072016014,QS-L8,2
18.27075694,-2.08461635,0.958686091,0.039741614,-0.27562859,0.076702683,T-QR5,2
-10.9391015,-2.534086234,-0.606896615,1.793040595,-2.913959282,-6.897510144,QR-Pr4,1
-15.45184579,-4.552369442,8.38881867,3.704659454,0.695152875,0.413812757,QA-AL2,1
-16.95410369,-5.381248096,12.20080574,5.514122277,0.914530001,0.060869729,QS-W6,1
1.18383654,-0.908871994,1.264079069,-1.52366947,0.16447343,-0.022908565,QS-H2,2
21.21197873,-1.542132135,-1.66248581,7.592424234,0.006494385,0.207023117,QR-PO7,2
-8.488020821,-0.1555496,-13.00077734,-2.616562358,-3.412043203,6.62430725,QA-Shaw ,0
21.95240915,-2.014353221,-1.261638367,7.525449949,-0.57714381,-0.458121683,QR-Pr10,2
21.76991202,-1.902885244,-2.114624009,7.343257939,-0.025509766,0.950498192,QR-PO13,2
-17.81138985,-6.102750615,13.23459581,6.058118598,1.742558931,0.299100376,QS-W2,1
22.16005006,-1.277518849,-1.941225566,7.790552104,0.229592797,-0.02473054,QR-PO8,2
22.83940919,-2.13684209,-1.659320674,8.889217012,0.405388004,0.752191399,QR-PO3,2
-8.729710164,0.206960817,-11.35548317,-1.554350223,-3.238597023,1.480899924,DAN-QA,0
-0.240544969,-0.068756308,-0.529028269,-0.025802103,-0.029802621,-0.343881475,QA-Pr9,0
-16.99814607,-5.685082097,12.56550708,5.46338723,1.532107448,-0.461886128,QS-AL5,1
-10.98878604,-2.362335408,-1.949956317,1.839150443,-0.76704499,0.361795744,QA-K3,1
-13.91950119,-5.383929284,11.3318966,2.655005395,1.535301629,-0.325178653,QS-W5,1
10.11882432,-2.320689434,6.74286294,-14.98446297,-0.767871051,0.126735381,QS-L10,2
-11.14140423,-1.784133026,-4.296504536,-0.003516967,-3.353964625,0.557498708,QAC-G-0004-A,0
-5.711894192,0.196500889,-8.914460449,-0.280046929,-4.818607568,-12.16569326,QA-Pr1,0
-9.590511701,0.250831293,-11.38253684,-1.879105625,-4.879971942,5.505392086,QA-PO6,0
-9.177108596,-0.571629284,-10.54033049,-1.571035421,-4.231814397,5.444796531,QA-PO15,0
