TreeNo,knn_gene_predictions,gene_cluster,gene_coordinates,gene_centroids,bkm_distance,knn_distance
QR-RP11,[-3.16706323 -4.02078     6.85676503],2,"[14.93882086, -1.666065171, 3.489041979]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",2.6091104232970825,18.566348029026393
QR-RP12,[-12.17800741  -4.47976563   7.72190271],1,"[12.7707409, -1.671057056, 3.362380929]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",23.877635990033717,25.48203909011089
QR-RP2,[ 5.97894508 -2.83499091  4.50125264],2,"[11.68974151, -1.983574462, 2.558045297]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",4.924375055174264,6.092139244204759
QR-RP3,[ 5.97894508 -2.83499091  4.50125264],2,"[14.47464213, -2.170601809, 4.176484878]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",3.4475474242377646,8.527822423388246
QR-RP3,[ 5.97894508 -2.83499091  4.50125264],2,"[14.47464213, -2.170601809, 4.176484878]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",3.4475474242377646,8.527822423388246
QR-RP5,[-14.67097174  -5.25618885  10.2383143 ],1,"[-8.980693645, -1.684933813, 0.147743403]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.023875421814353,12.122406870955258
QR-RP6,[-4.19327819 -4.12116427  7.26796852],2,"[17.51357945, -1.978855534, 2.420859268]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",1.477053191661882,22.344386844221695
QR-RP7,[ 5.97894508 -2.83499091  4.50125264],2,"[13.39585983, -2.337104406, 4.50911228]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",4.411270695095119,7.433611309706813
QR-RP9,[-3.16706323 -4.02078     6.85676503],1,"[-10.51670774, -2.943086826, 2.384662795]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",3.2149709127852395,8.67054758327721
QS-RP1,[-12.13201695  -3.84285372   6.23061707],1,"[13.19326391, -2.658953125, 3.982955771]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",24.18856680356373,25.452376165371707
QS-RP10,[-14.15589233  -4.29534918   7.165219  ],1,"[-10.45645015, -2.566019609, 2.671979114]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",3.064948637693738,6.071709637794069
QS-RP12,[-4.19327819 -4.12116427  7.26796852],1,"[-13.48838453, -3.901896655, 3.641492632]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",3.163424641686949,9.979900177362877
QS-RP14,[-14.67097174  -5.25618885  10.2383143 ],1,"[-8.563557794, -1.962381078, 0.256882041]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",5.991403876633089,12.15642483071152
QS-RP15,[-14.15589233  -4.29534918   7.165219  ],1,"[-9.757292081, -2.284683486, -0.295546245]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.062449059754269,8.891202325418634
QS-RP3,[-14.67097174  -5.25618885  10.2383143 ],1,"[-11.7199616, -2.433470309, -1.01187161]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.664425274682865,11.968411917150734
QS-RP7,[-3.75794308 -3.12006366  4.11851315],1,"[-11.01041817, -3.220426767, 1.115255026]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",4.395647026868792,7.850352034300419
QS-RP8,[-13.15823191  -3.94323799   6.64182056],1,"[-9.032593859, -2.847049909, 0.790631139]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",5.131600020362189,7.242854084406979
SH-QR21,[-4.19327819 -4.12116427  7.26796852],2,"[14.76925537, -1.721371073, 2.967185275]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",2.3268498572067915,19.591667181148907
SH-QR24,[ 5.97894508 -2.83499091  4.50125264],2,"[8.773040688, -2.341736885, 5.779603159]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",8.877644200488579,3.111984870006159
SH-QR25,[ 5.97894508 -2.83499091  4.50125264],2,"[13.51852375, -1.826562027, 4.265359428]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",4.1247817357596235,7.610375870452252
SH-QR27,[-1.6543234  -2.70782914  3.26027129],1,"[4.540473723, -2.236517045, 2.868785371]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",15.753879961290332,6.22502270875676
SH-QR5,[-3.16706323 -4.02078     6.85676503],1,"[15.30608115, -2.033685241, 4.84471852]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",26.292663051181126,18.68833700484795
SH-QR6,[-1.70031386 -3.34474105  4.75155694],2,"[14.15638312, -2.04496104, 5.144944747]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",4.420112783514525,15.914742259850447
SH-QR7,[ 5.97894508 -2.83499091  4.50125264],2,"[13.40181353, -1.889706061, 4.365932862]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",4.278760715021087,7.484039742269287
SH-QR9,[ 5.97894508 -2.83499091  4.50125264],1,"[11.72092291, -1.770264135, 5.153833812]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",22.73105615048192,5.8762075059606
SH-QS1,[-12.13201695  -3.84285372   6.23061707],1,"[-8.819664666, -3.383498441, 4.857422409]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",2.219513952287979,3.615017079593067
SH-QS12,[-13.20422237  -4.5801499    8.13310621],1,"[-9.68128899, -3.396039849, 5.346520487]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",1.2866343006400809,4.6452380111172875
SH-QS15,[-12.17800741  -4.47976563   7.72190271],1,"[-7.743008163, -1.891009657, 3.362775012]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",4.227215297601097,6.735938696199709
SH-QS18,[-12.13201695  -3.84285372   6.23061707],1,"[-14.97552109, -5.012044986, 10.1298728]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.302353934654527,4.96555327029492
SH-QS18,[-12.13201695  -3.84285372   6.23061707],1,"[-14.97552109, -5.012044986, 10.1298728]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.302353934654527,4.96555327029492
SH-QS2,[-5.52496342 -4.07039976  7.88280191],1,"[-8.408125245, -2.288342021, 4.408345299]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",3.075971668091272,4.853885107142569
SH-QS21,[-12.13201695  -3.84285372   6.23061707],1,"[-9.519253084, -3.355812443, 5.016272318]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",1.5202037024398525,2.922050202825606
SH-QS27,[-14.67097174  -5.25618885  10.2383143 ],1,"[-13.09526795, -4.699555168, 6.817539223]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",2.7388537969615245,3.807149276446535
SH-QS30,[-3.16706323 -4.02078     6.85676503],1,"[1.489297853, -3.48431707, 5.240261251]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",12.42005340698891,4.958081834150489
SH-QS6,[-14.67097174  -5.25618885  10.2383143 ],1,"[-12.56181478, -4.715214822, 8.92209869]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",3.9422623468481586,2.544330855275193
