idx,SNMF_genetic_label,V1,V2,V3,V4,morphological_tree_number
149,QR_12_QR-AL2,9.9991E-05,0.266347,0.702129,0.0314238,QR-AL2
150,QA_10_QA-Pr10,0.916901,0.0438493,0.0391498,9.9991E-05,QA-Pr10
151,QR_3_QR-RP3,9.9982E-05,0.187943,0.811857,9.9982E-05,QR-RP3
152,QA_9_QA-PO5,0.88402,0.109894,9.9991E-05,0.00598609,QA-PO5
153,QS_7_QS-L8,9.9982E-05,0.319614,0.680186,9.9982E-05,QS-L8
154,QB_14_TX-QB10,0.0708652,0.0113957,0.00668003,0.911059,TX-QB10
155,QR_2_T-QR5,0.00573748,0.0531457,0.939979,0.0011375,T-QR5
156,QR_10_QR-Pr4,0.481604,0.505088,0.00263694,0.0106715,QR-Pr4
157,psQA_12_QA-AL2,0.151174,0.848626,9.9982E-05,9.9982E-05,QA-AL2
158,QS_11_QS-W6,0.00312504,0.996675,9.9982E-05,9.9982E-05,QS-W6
159,QR_10_QR-Pr14,9.998E-05,9.998E-05,0.9997,9.998E-05,QR-Pr14
160,QR_9_QR-PO7,0.0320968,9.9982E-05,0.967703,9.9982E-05,QR-PO7
161,QB_14_TX-QB8,0.145608,0.0299547,0.0194431,0.804995,TX-QB8
162,QA_ex_QA-Shaw ,0.9997,9.998E-05,9.998E-05,9.998E-05,QA-Shaw 
163,QR_10_QR-Pr10,0.0248284,9.9982E-05,0.974972,9.9982E-05,QR-Pr10
164,QR_9_QR-PO13,9.998E-05,9.998E-05,0.9997,9.998E-05,QR-PO13
165,QS_11_QS-W2,9.998E-05,0.9997,9.998E-05,9.998E-05,QS-W2
166,QS_13_QS-AL8,9.998E-05,0.9997,9.998E-05,9.998E-05,QS-AL8
167,QR_9_QR-PO8,9.998E-05,9.998E-05,0.9997,9.998E-05,QR-PO8
168,QR_9_QR-PO3,9.998E-05,9.998E-05,0.9997,9.998E-05,QR-PO3
169,QB_14_TX-QB7,0.0271028,0.0288211,0.0344838,0.909592,TX-QB7
170,QA_ex_DAN-QA,0.938638,0.0577655,9.9991E-05,0.00349632,DAN-QA
171,QS_13_QS-AL5,0.036943,0.950103,9.9991E-05,0.0128537,QS-AL5
172,psQA_4_QA-K3,0.53743,0.46237,9.9982E-05,9.9982E-05,QA-K3
173,QB_14_TX-QB1,9.998E-05,9.998E-05,9.998E-05,0.9997,TX-QB1
174,QS_11_QS-W5,0.0569671,0.923321,0.0178029,0.00190935,QS-W5
175,QS_7_QS-L10,9.9982E-05,0.310764,0.689036,9.9982E-05,QS-L10
176,QB_14_TX-QB6,0.038917,0.0472914,0.007457,0.906335,TX-QB6
177,QA_ex_QAC-G-0004-A,0.626623,0.373177,9.9982E-05,9.9982E-05,QAC-G-0004-A
178,QA_10_QA-Pr1,0.804562,0.0695996,0.101965,0.0238737,QA-Pr1
179,QA_9_QA-PO6,0.953842,0.0459583,9.9982E-05,9.9982E-05,QA-PO6
180,QA_9_QA-PO15,0.932504,0.0637059,9.9991E-05,0.00368966,QA-PO15
